buying,maint,doors,persons,lug_boot,safety,target
vhigh,very expensive,4-door,4-person,big,medium safety,unacc
vhigh,very expensive,4-door,4-person,big,high safety,unacc
vhigh,very expensive,4-door,more than 4,small,low safety,unacc
vhigh,very expensive,4-door,more than 4,small,medium safety,unacc
vhigh,very expensive,4-door,more than 4,small,high safety,unacc
vhigh,very expensive,4-door,more than 4,med,low safety,unacc
vhigh,very expensive,4-door,more than 4,med,medium safety,unacc
vhigh,very expensive,4-door,more than 4,med,high safety,unacc
vhigh,very expensive,4-door,more than 4,big,low safety,unacc
vhigh,very expensive,4-door,more than 4,big,medium safety,unacc
vhigh,very expensive,4-door,more than 4,big,high safety,unacc
vhigh,very expensive,5 or more,2-person,small,low safety,unacc
vhigh,very expensive,5 or more,2-person,small,medium safety,unacc
vhigh,very expensive,5 or more,2-person,small,high safety,unacc
vhigh,very expensive,5 or more,2-person,med,low safety,unacc
vhigh,very expensive,5 or more,2-person,med,medium safety,unacc
vhigh,very expensive,5 or more,2-person,med,high safety,unacc
vhigh,very expensive,5 or more,2-person,big,low safety,unacc
vhigh,very expensive,5 or more,2-person,big,medium safety,unacc
vhigh,very expensive,5 or more,2-person,big,high safety,unacc
vhigh,very expensive,5 or more,4-person,small,low safety,unacc
vhigh,very expensive,5 or more,4-person,small,medium safety,unacc
vhigh,very expensive,5 or more,4-person,small,high safety,unacc
vhigh,very expensive,5 or more,4-person,med,low safety,unacc
vhigh,very expensive,5 or more,4-person,med,medium safety,unacc
vhigh,very expensive,5 or more,4-person,med,high safety,unacc
vhigh,very expensive,5 or more,4-person,big,low safety,unacc
vhigh,very expensive,5 or more,4-person,big,medium safety,unacc
vhigh,very expensive,5 or more,4-person,big,high safety,unacc
vhigh,very expensive,5 or more,more than 4,small,low safety,unacc
vhigh,very expensive,5 or more,more than 4,small,medium safety,unacc
vhigh,very expensive,5 or more,more than 4,small,high safety,unacc
vhigh,very expensive,5 or more,more than 4,med,low safety,unacc
vhigh,very expensive,5 or more,more than 4,med,medium safety,unacc
vhigh,very expensive,5 or more,more than 4,med,high safety,unacc
vhigh,very expensive,5 or more,more than 4,big,low safety,unacc
vhigh,very expensive,5 or more,more than 4,big,medium safety,unacc
vhigh,very expensive,5 or more,more than 4,big,high safety,unacc
vhigh,expensive,2-door,2-person,small,low safety,unacc
vhigh,expensive,2-door,2-person,small,medium safety,unacc
vhigh,expensive,2-door,2-person,small,high safety,unacc
vhigh,expensive,2-door,2-person,med,low safety,unacc
vhigh,expensive,2-door,2-person,med,medium safety,unacc
vhigh,expensive,2-door,2-person,med,high safety,unacc
vhigh,expensive,2-door,2-person,big,low safety,unacc
vhigh,expensive,2-door,2-person,big,medium safety,unacc
vhigh,expensive,2-door,2-person,big,high safety,unacc
vhigh,expensive,2-door,4-person,small,low safety,unacc
vhigh,expensive,2-door,4-person,small,medium safety,unacc
vhigh,expensive,2-door,4-person,small,high safety,unacc
vhigh,expensive,2-door,4-person,med,low safety,unacc
vhigh,expensive,2-door,4-person,med,medium safety,unacc
vhigh,expensive,2-door,4-person,med,high safety,unacc
vhigh,expensive,2-door,4-person,big,low safety,unacc
vhigh,expensive,2-door,4-person,big,medium safety,unacc
vhigh,expensive,2-door,4-person,big,high safety,unacc
vhigh,expensive,2-door,more than 4,small,low safety,unacc
vhigh,expensive,2-door,more than 4,small,medium safety,unacc
vhigh,expensive,2-door,more than 4,small,high safety,unacc
vhigh,expensive,2-door,more than 4,med,low safety,unacc
vhigh,expensive,2-door,more than 4,med,medium safety,unacc
vhigh,expensive,2-door,more than 4,med,high safety,unacc
vhigh,expensive,2-door,more than 4,big,low safety,unacc
vhigh,expensive,2-door,more than 4,big,medium safety,unacc
vhigh,expensive,2-door,more than 4,big,high safety,unacc
vhigh,expensive,3-door,2-person,small,low safety,unacc
vhigh,expensive,3-door,2-person,small,medium safety,unacc
vhigh,expensive,3-door,2-person,small,high safety,unacc
vhigh,expensive,3-door,2-person,med,low safety,unacc
vhigh,expensive,3-door,2-person,med,medium safety,unacc
vhigh,expensive,3-door,2-person,med,high safety,unacc
vhigh,expensive,3-door,2-person,big,low safety,unacc
vhigh,expensive,3-door,2-person,big,medium safety,unacc
vhigh,expensive,3-door,2-person,big,high safety,unacc
vhigh,expensive,3-door,4-person,small,low safety,unacc
vhigh,expensive,3-door,4-person,small,medium safety,unacc
vhigh,expensive,3-door,4-person,small,high safety,unacc
vhigh,expensive,3-door,4-person,med,low safety,unacc
vhigh,expensive,3-door,4-person,med,medium safety,unacc
vhigh,expensive,3-door,4-person,med,high safety,unacc
vhigh,expensive,3-door,4-person,big,low safety,unacc
vhigh,expensive,3-door,4-person,big,medium safety,unacc
vhigh,expensive,3-door,4-person,big,high safety,unacc
vhigh,expensive,3-door,more than 4,small,low safety,unacc
vhigh,expensive,3-door,more than 4,small,medium safety,unacc
vhigh,expensive,3-door,more than 4,small,high safety,unacc
vhigh,expensive,3-door,more than 4,med,low safety,unacc
vhigh,expensive,3-door,more than 4,med,medium safety,unacc
vhigh,expensive,3-door,more than 4,med,high safety,unacc
vhigh,expensive,3-door,more than 4,big,low safety,unacc
vhigh,expensive,3-door,more than 4,big,medium safety,unacc
vhigh,expensive,3-door,more than 4,big,high safety,unacc
vhigh,expensive,4-door,2-person,small,low safety,unacc
vhigh,expensive,4-door,2-person,small,medium safety,unacc
vhigh,expensive,4-door,2-person,small,high safety,unacc
vhigh,expensive,4-door,2-person,med,low safety,unacc
vhigh,expensive,4-door,2-person,med,medium safety,unacc
vhigh,expensive,4-door,2-person,med,high safety,unacc
vhigh,expensive,4-door,2-person,big,low safety,unacc
vhigh,expensive,4-door,2-person,big,medium safety,unacc
vhigh,expensive,4-door,2-person,big,high safety,unacc
vhigh,expensive,4-door,4-person,small,low safety,unacc
vhigh,expensive,4-door,4-person,small,medium safety,unacc
vhigh,expensive,4-door,4-person,small,high safety,unacc
vhigh,expensive,4-door,4-person,med,low safety,unacc
vhigh,expensive,4-door,4-person,med,medium safety,unacc
vhigh,expensive,4-door,4-person,med,high safety,unacc
vhigh,expensive,4-door,4-person,big,low safety,unacc
vhigh,expensive,4-door,4-person,big,medium safety,unacc
vhigh,expensive,4-door,4-person,big,high safety,unacc
vhigh,expensive,4-door,more than 4,small,low safety,unacc
vhigh,expensive,4-door,more than 4,small,medium safety,unacc
vhigh,expensive,4-door,more than 4,small,high safety,unacc
vhigh,expensive,4-door,more than 4,med,low safety,unacc
vhigh,expensive,4-door,more than 4,med,medium safety,unacc
vhigh,expensive,4-door,more than 4,med,high safety,unacc
vhigh,expensive,4-door,more than 4,big,low safety,unacc
vhigh,expensive,4-door,more than 4,big,medium safety,unacc
vhigh,expensive,4-door,more than 4,big,high safety,unacc
vhigh,expensive,5 or more,2-person,small,low safety,unacc
vhigh,expensive,5 or more,2-person,small,medium safety,unacc
vhigh,expensive,5 or more,2-person,small,high safety,unacc
vhigh,expensive,5 or more,2-person,med,low safety,unacc
vhigh,expensive,5 or more,2-person,med,medium safety,unacc
vhigh,expensive,5 or more,2-person,med,high safety,unacc
vhigh,expensive,5 or more,2-person,big,low safety,unacc
vhigh,expensive,5 or more,2-person,big,medium safety,unacc
vhigh,expensive,5 or more,2-person,big,high safety,unacc
vhigh,expensive,5 or more,4-person,small,low safety,unacc
vhigh,expensive,5 or more,4-person,small,medium safety,unacc
vhigh,expensive,5 or more,4-person,small,high safety,unacc
vhigh,expensive,5 or more,4-person,med,low safety,unacc
vhigh,expensive,5 or more,4-person,med,medium safety,unacc
vhigh,expensive,5 or more,4-person,med,high safety,unacc
vhigh,expensive,5 or more,4-person,big,low safety,unacc
vhigh,expensive,5 or more,4-person,big,medium safety,unacc
vhigh,expensive,5 or more,4-person,big,high safety,unacc
vhigh,expensive,5 or more,more than 4,small,low safety,unacc
vhigh,expensive,5 or more,more than 4,small,medium safety,unacc
vhigh,expensive,5 or more,more than 4,small,high safety,unacc
vhigh,expensive,5 or more,more than 4,med,low safety,unacc
vhigh,expensive,5 or more,more than 4,med,medium safety,unacc
vhigh,expensive,5 or more,more than 4,med,high safety,unacc
vhigh,expensive,5 or more,more than 4,big,low safety,unacc
vhigh,expensive,5 or more,more than 4,big,medium safety,unacc
vhigh,expensive,5 or more,more than 4,big,high safety,unacc
vhigh,moderately expensive,2-door,2-person,small,low safety,unacc
vhigh,moderately expensive,2-door,2-person,small,medium safety,unacc
vhigh,moderately expensive,2-door,2-person,small,high safety,unacc
vhigh,moderately expensive,2-door,2-person,med,low safety,unacc
vhigh,moderately expensive,2-door,2-person,med,medium safety,unacc
vhigh,moderately expensive,2-door,2-person,med,high safety,unacc
vhigh,moderately expensive,2-door,2-person,big,low safety,unacc
vhigh,moderately expensive,2-door,2-person,big,medium safety,unacc
vhigh,moderately expensive,2-door,2-person,big,high safety,unacc
vhigh,moderately expensive,2-door,4-person,small,low safety,unacc
vhigh,moderately expensive,2-door,4-person,small,medium safety,unacc
vhigh,moderately expensive,2-door,4-person,small,high safety,acc
vhigh,moderately expensive,2-door,4-person,med,low safety,unacc
vhigh,moderately expensive,2-door,4-person,med,medium safety,unacc
vhigh,moderately expensive,2-door,4-person,med,high safety,acc
vhigh,moderately expensive,2-door,4-person,big,low safety,unacc
vhigh,moderately expensive,2-door,4-person,big,medium safety,acc
vhigh,moderately expensive,2-door,4-person,big,high safety,acc
vhigh,moderately expensive,2-door,more than 4,small,low safety,unacc
vhigh,moderately expensive,2-door,more than 4,small,medium safety,unacc
vhigh,moderately expensive,2-door,more than 4,small,high safety,unacc
vhigh,moderately expensive,2-door,more than 4,med,low safety,unacc
vhigh,moderately expensive,2-door,more than 4,med,medium safety,unacc
vhigh,moderately expensive,2-door,more than 4,med,high safety,acc
vhigh,moderately expensive,2-door,more than 4,big,low safety,unacc
vhigh,moderately expensive,2-door,more than 4,big,medium safety,acc
vhigh,moderately expensive,2-door,more than 4,big,high safety,acc
vhigh,moderately expensive,3-door,2-person,small,low safety,unacc
vhigh,moderately expensive,3-door,2-person,small,medium safety,unacc
vhigh,moderately expensive,3-door,2-person,small,high safety,unacc
vhigh,moderately expensive,3-door,2-person,med,low safety,unacc
vhigh,moderately expensive,3-door,2-person,med,medium safety,unacc
vhigh,moderately expensive,3-door,2-person,med,high safety,unacc
vhigh,moderately expensive,3-door,2-person,big,low safety,unacc
vhigh,moderately expensive,3-door,2-person,big,medium safety,unacc
vhigh,moderately expensive,3-door,2-person,big,high safety,unacc
vhigh,moderately expensive,3-door,4-person,small,low safety,unacc
vhigh,moderately expensive,3-door,4-person,small,medium safety,unacc
vhigh,moderately expensive,3-door,4-person,small,high safety,acc
vhigh,moderately expensive,3-door,4-person,med,low safety,unacc
vhigh,moderately expensive,3-door,4-person,med,medium safety,unacc
vhigh,moderately expensive,3-door,4-person,med,high safety,acc
vhigh,moderately expensive,3-door,4-person,big,low safety,unacc
vhigh,moderately expensive,3-door,4-person,big,medium safety,acc
vhigh,moderately expensive,3-door,4-person,big,high safety,acc
vhigh,moderately expensive,3-door,more than 4,small,low safety,unacc
vhigh,moderately expensive,3-door,more than 4,small,medium safety,unacc
vhigh,moderately expensive,3-door,more than 4,small,high safety,acc
vhigh,moderately expensive,3-door,more than 4,med,low safety,unacc
vhigh,moderately expensive,3-door,more than 4,med,medium safety,acc
vhigh,moderately expensive,3-door,more than 4,med,high safety,acc
vhigh,moderately expensive,3-door,more than 4,big,low safety,unacc
vhigh,moderately expensive,3-door,more than 4,big,medium safety,acc
vhigh,moderately expensive,3-door,more than 4,big,high safety,acc
vhigh,moderately expensive,4-door,2-person,small,low safety,unacc
vhigh,moderately expensive,4-door,2-person,small,medium safety,unacc
vhigh,moderately expensive,4-door,2-person,small,high safety,unacc
vhigh,moderately expensive,4-door,2-person,med,low safety,unacc
vhigh,moderately expensive,4-door,2-person,med,medium safety,unacc
vhigh,moderately expensive,4-door,2-person,med,high safety,unacc
vhigh,moderately expensive,4-door,2-person,big,low safety,unacc
vhigh,moderately expensive,4-door,2-person,big,medium safety,unacc
vhigh,moderately expensive,4-door,2-person,big,high safety,unacc
vhigh,moderately expensive,4-door,4-person,small,low safety,unacc
vhigh,moderately expensive,4-door,4-person,small,medium safety,unacc
vhigh,moderately expensive,4-door,4-person,small,high safety,acc
vhigh,moderately expensive,4-door,4-person,med,low safety,unacc
vhigh,moderately expensive,4-door,4-person,med,medium safety,acc
vhigh,moderately expensive,4-door,4-person,med,high safety,acc
vhigh,moderately expensive,4-door,4-person,big,low safety,unacc
vhigh,moderately expensive,4-door,4-person,big,medium safety,acc
vhigh,moderately expensive,4-door,4-person,big,high safety,acc
vhigh,moderately expensive,4-door,more than 4,small,low safety,unacc
vhigh,moderately expensive,4-door,more than 4,small,medium safety,unacc
vhigh,moderately expensive,4-door,more than 4,small,high safety,acc
vhigh,moderately expensive,4-door,more than 4,med,low safety,unacc
vhigh,moderately expensive,4-door,more than 4,med,medium safety,acc
vhigh,moderately expensive,4-door,more than 4,med,high safety,acc
vhigh,moderately expensive,4-door,more than 4,big,low safety,unacc
vhigh,moderately expensive,4-door,more than 4,big,medium safety,acc
vhigh,moderately expensive,4-door,more than 4,big,high safety,acc
vhigh,moderately expensive,5 or more,2-person,small,low safety,unacc
vhigh,moderately expensive,5 or more,2-person,small,medium safety,unacc
vhigh,moderately expensive,5 or more,2-person,small,high safety,unacc
vhigh,moderately expensive,5 or more,2-person,med,low safety,unacc
vhigh,moderately expensive,5 or more,2-person,med,medium safety,unacc
vhigh,moderately expensive,5 or more,2-person,med,high safety,unacc
vhigh,moderately expensive,5 or more,2-person,big,low safety,unacc
vhigh,moderately expensive,5 or more,2-person,big,medium safety,unacc
vhigh,moderately expensive,5 or more,2-person,big,high safety,unacc
vhigh,moderately expensive,5 or more,4-person,small,low safety,unacc
vhigh,moderately expensive,5 or more,4-person,small,medium safety,unacc
vhigh,moderately expensive,5 or more,4-person,small,high safety,acc
vhigh,moderately expensive,5 or more,4-person,med,low safety,unacc
vhigh,moderately expensive,5 or more,4-person,med,medium safety,acc
vhigh,moderately expensive,5 or more,4-person,med,high safety,acc
vhigh,moderately expensive,5 or more,4-person,big,low safety,unacc
vhigh,moderately expensive,5 or more,4-person,big,medium safety,acc
vhigh,moderately expensive,5 or more,4-person,big,high safety,acc
vhigh,moderately expensive,5 or more,more than 4,small,low safety,unacc
vhigh,moderately expensive,5 or more,more than 4,small,medium safety,unacc
vhigh,moderately expensive,5 or more,more than 4,small,high safety,acc
vhigh,moderately expensive,5 or more,more than 4,med,low safety,unacc
vhigh,moderately expensive,5 or more,more than 4,med,medium safety,acc
vhigh,moderately expensive,5 or more,more than 4,med,high safety,acc
vhigh,moderately expensive,5 or more,more than 4,big,low safety,unacc
vhigh,moderately expensive,5 or more,more than 4,big,medium safety,acc
vhigh,moderately expensive,5 or more,more than 4,big,high safety,acc
vhigh,inexpensive,2-door,2-person,small,low safety,unacc
vhigh,inexpensive,2-door,2-person,small,medium safety,unacc
vhigh,inexpensive,2-door,2-person,small,high safety,unacc
vhigh,inexpensive,2-door,2-person,med,low safety,unacc
vhigh,inexpensive,2-door,2-person,med,medium safety,unacc
vhigh,inexpensive,2-door,2-person,med,high safety,unacc
vhigh,inexpensive,2-door,2-person,big,low safety,unacc
vhigh,inexpensive,2-door,2-person,big,medium safety,unacc
vhigh,inexpensive,2-door,2-person,big,high safety,unacc
vhigh,inexpensive,2-door,4-person,small,low safety,unacc
vhigh,inexpensive,2-door,4-person,small,medium safety,unacc
vhigh,inexpensive,2-door,4-person,small,high safety,acc
vhigh,inexpensive,2-door,4-person,med,low safety,unacc
vhigh,inexpensive,2-door,4-person,med,medium safety,unacc
vhigh,inexpensive,2-door,4-person,med,high safety,acc
vhigh,inexpensive,2-door,4-person,big,low safety,unacc
vhigh,inexpensive,2-door,4-person,big,medium safety,acc
vhigh,inexpensive,2-door,4-person,big,high safety,acc
vhigh,inexpensive,2-door,more than 4,small,low safety,unacc
vhigh,inexpensive,2-door,more than 4,small,medium safety,unacc
vhigh,inexpensive,2-door,more than 4,small,high safety,unacc
vhigh,inexpensive,2-door,more than 4,med,low safety,unacc
vhigh,inexpensive,2-door,more than 4,med,medium safety,unacc
vhigh,inexpensive,2-door,more than 4,med,high safety,acc
vhigh,inexpensive,2-door,more than 4,big,low safety,unacc
vhigh,inexpensive,2-door,more than 4,big,medium safety,acc
vhigh,inexpensive,2-door,more than 4,big,high safety,acc
vhigh,inexpensive,3-door,2-person,small,low safety,unacc
vhigh,inexpensive,3-door,2-person,small,medium safety,unacc
vhigh,inexpensive,3-door,2-person,small,high safety,unacc
vhigh,inexpensive,3-door,2-person,med,low safety,unacc
vhigh,inexpensive,3-door,2-person,med,medium safety,unacc
vhigh,inexpensive,3-door,2-person,med,high safety,unacc
vhigh,inexpensive,3-door,2-person,big,low safety,unacc
vhigh,inexpensive,3-door,2-person,big,medium safety,unacc
vhigh,inexpensive,3-door,2-person,big,high safety,unacc
vhigh,inexpensive,3-door,4-person,small,low safety,unacc
vhigh,inexpensive,3-door,4-person,small,medium safety,unacc
vhigh,inexpensive,3-door,4-person,small,high safety,acc
vhigh,inexpensive,3-door,4-person,med,low safety,unacc
vhigh,inexpensive,3-door,4-person,med,medium safety,unacc
vhigh,inexpensive,3-door,4-person,med,high safety,acc
vhigh,inexpensive,3-door,4-person,big,low safety,unacc
vhigh,inexpensive,3-door,4-person,big,medium safety,acc
vhigh,inexpensive,3-door,4-person,big,high safety,acc
vhigh,inexpensive,3-door,more than 4,small,low safety,unacc
vhigh,inexpensive,3-door,more than 4,small,medium safety,unacc
vhigh,inexpensive,3-door,more than 4,small,high safety,acc
vhigh,inexpensive,3-door,more than 4,med,low safety,unacc
vhigh,inexpensive,3-door,more than 4,med,medium safety,acc
vhigh,inexpensive,3-door,more than 4,med,high safety,acc
vhigh,inexpensive,3-door,more than 4,big,low safety,unacc
vhigh,inexpensive,3-door,more than 4,big,medium safety,acc
vhigh,inexpensive,3-door,more than 4,big,high safety,acc
vhigh,inexpensive,4-door,2-person,small,low safety,unacc
vhigh,inexpensive,4-door,2-person,small,medium safety,unacc
vhigh,inexpensive,4-door,2-person,small,high safety,unacc
vhigh,inexpensive,4-door,2-person,med,low safety,unacc
vhigh,inexpensive,4-door,2-person,med,medium safety,unacc
vhigh,inexpensive,4-door,2-person,med,high safety,unacc
vhigh,inexpensive,4-door,2-person,big,low safety,unacc
vhigh,inexpensive,4-door,2-person,big,medium safety,unacc
vhigh,inexpensive,4-door,2-person,big,high safety,unacc
vhigh,inexpensive,4-door,4-person,small,low safety,unacc
vhigh,inexpensive,4-door,4-person,small,medium safety,unacc
vhigh,inexpensive,4-door,4-person,small,high safety,acc
vhigh,inexpensive,4-door,4-person,med,low safety,unacc
vhigh,inexpensive,4-door,4-person,med,medium safety,acc
vhigh,inexpensive,4-door,4-person,med,high safety,acc
vhigh,inexpensive,4-door,4-person,big,low safety,unacc
vhigh,inexpensive,4-door,4-person,big,medium safety,acc
vhigh,inexpensive,4-door,4-person,big,high safety,acc
vhigh,inexpensive,4-door,more than 4,small,low safety,unacc
vhigh,inexpensive,4-door,more than 4,small,medium safety,unacc
vhigh,inexpensive,4-door,more than 4,small,high safety,acc
vhigh,inexpensive,4-door,more than 4,med,low safety,unacc
vhigh,inexpensive,4-door,more than 4,med,medium safety,acc
vhigh,inexpensive,4-door,more than 4,med,high safety,acc
vhigh,inexpensive,4-door,more than 4,big,low safety,unacc
vhigh,inexpensive,4-door,more than 4,big,medium safety,acc
vhigh,inexpensive,4-door,more than 4,big,high safety,acc
vhigh,inexpensive,5 or more,2-person,small,low safety,unacc
vhigh,inexpensive,5 or more,2-person,small,medium safety,unacc
vhigh,inexpensive,5 or more,2-person,small,high safety,unacc
vhigh,inexpensive,5 or more,2-person,med,low safety,unacc
vhigh,inexpensive,5 or more,2-person,med,medium safety,unacc
vhigh,inexpensive,5 or more,2-person,med,high safety,unacc
vhigh,inexpensive,5 or more,2-person,big,low safety,unacc
vhigh,inexpensive,5 or more,2-person,big,medium safety,unacc
vhigh,inexpensive,5 or more,2-person,big,high safety,unacc
vhigh,inexpensive,5 or more,4-person,small,low safety,unacc
vhigh,inexpensive,5 or more,4-person,small,medium safety,unacc
vhigh,inexpensive,5 or more,4-person,small,high safety,acc
vhigh,inexpensive,5 or more,4-person,med,low safety,unacc
vhigh,inexpensive,5 or more,4-person,med,medium safety,acc
vhigh,inexpensive,5 or more,4-person,med,high safety,acc
vhigh,inexpensive,5 or more,4-person,big,low safety,unacc
vhigh,inexpensive,5 or more,4-person,big,medium safety,acc
vhigh,inexpensive,5 or more,4-person,big,high safety,acc
vhigh,inexpensive,5 or more,more than 4,small,low safety,unacc
vhigh,inexpensive,5 or more,more than 4,small,medium safety,unacc
vhigh,inexpensive,5 or more,more than 4,small,high safety,acc
vhigh,inexpensive,5 or more,more than 4,med,low safety,unacc
vhigh,inexpensive,5 or more,more than 4,med,medium safety,acc
vhigh,inexpensive,5 or more,more than 4,med,high safety,acc
vhigh,inexpensive,5 or more,more than 4,big,low safety,unacc
vhigh,inexpensive,5 or more,more than 4,big,medium safety,acc
vhigh,inexpensive,5 or more,more than 4,big,high safety,acc
high,very expensive,2-door,2-person,small,low safety,unacc
high,very expensive,2-door,2-person,small,medium safety,unacc
high,very expensive,2-door,2-person,small,high safety,unacc
high,very expensive,2-door,2-person,med,low safety,unacc
high,very expensive,2-door,2-person,med,medium safety,unacc
high,very expensive,2-door,2-person,med,high safety,unacc
high,very expensive,2-door,2-person,big,low safety,unacc
high,very expensive,2-door,2-person,big,medium safety,unacc
high,very expensive,2-door,2-person,big,high safety,unacc
high,very expensive,2-door,4-person,small,low safety,unacc
high,very expensive,2-door,4-person,small,medium safety,unacc
high,very expensive,2-door,4-person,small,high safety,unacc
high,very expensive,2-door,4-person,med,low safety,unacc
high,very expensive,2-door,4-person,med,medium safety,unacc
high,very expensive,2-door,4-person,med,high safety,unacc
high,very expensive,2-door,4-person,big,low safety,unacc
high,very expensive,2-door,4-person,big,medium safety,unacc
high,very expensive,2-door,4-person,big,high safety,unacc
high,very expensive,2-door,more than 4,small,low safety,unacc
high,very expensive,2-door,more than 4,small,medium safety,unacc
high,very expensive,2-door,more than 4,small,high safety,unacc
high,very expensive,2-door,more than 4,med,low safety,unacc
high,very expensive,2-door,more than 4,med,medium safety,unacc
high,very expensive,2-door,more than 4,med,high safety,unacc
high,very expensive,2-door,more than 4,big,low safety,unacc
high,very expensive,2-door,more than 4,big,medium safety,unacc
high,very expensive,2-door,more than 4,big,high safety,unacc
high,very expensive,3-door,2-person,small,low safety,unacc
high,very expensive,3-door,2-person,small,medium safety,unacc
high,very expensive,3-door,2-person,small,high safety,unacc
high,very expensive,3-door,2-person,med,low safety,unacc
high,very expensive,3-door,2-person,med,medium safety,unacc
high,very expensive,3-door,2-person,med,high safety,unacc
high,very expensive,3-door,2-person,big,low safety,unacc
high,very expensive,3-door,2-person,big,medium safety,unacc
high,very expensive,3-door,2-person,big,high safety,unacc
high,very expensive,3-door,4-person,small,low safety,unacc
high,very expensive,3-door,4-person,small,medium safety,unacc
high,very expensive,3-door,4-person,small,high safety,unacc
high,very expensive,3-door,4-person,med,low safety,unacc
high,very expensive,3-door,4-person,med,medium safety,unacc
high,very expensive,3-door,4-person,med,high safety,unacc
high,very expensive,3-door,4-person,big,low safety,unacc
high,very expensive,3-door,4-person,big,medium safety,unacc
high,very expensive,3-door,4-person,big,high safety,unacc
high,very expensive,3-door,more than 4,small,low safety,unacc
high,very expensive,3-door,more than 4,small,medium safety,unacc
high,very expensive,3-door,more than 4,small,high safety,unacc
high,very expensive,3-door,more than 4,med,low safety,unacc
high,very expensive,3-door,more than 4,med,medium safety,unacc
high,very expensive,3-door,more than 4,med,high safety,unacc
